10,6425,969,555
20,34999,3436,410
30,52188,4631,337
40,104540,5936,380
50,134015,7140,330
60,174396,6043,307
70,364159,11878,211
80,541650,14646,374
90,782723,27136,415
100,435252,14616,322
110,644398,28474,436
120,774944,12885,410
130,893641,16757,452
140,961774,17091,439
150,898965,14644,360
160,918917,13642,376
170,1867658,37012,792
180,1397977,25113,613
190,1485750,19872,576
200,1785965,24342,643
210,1807490,20541,605
220,2453533,37727,787
230,1715260,18865,777
240,2305396,24569,631
250,3544371,40574,965
260,3104111,38171,900
270,4317197,44107,1010
280,3667881,44358,924
290,3823458,44492,901
300,4179172,30456,912
310,3547887,25126,774
320,4514651,41665,956
330,5480698,57966,1285
340,6516171,63069,1300
350,5718484,41802,1263
360,6108635,59932,1268
370,6642030,47834,1230
380,7454356,37723,1169
390,6737084,38776,1127
400,7735048,62235,1409
410,6686133,39684,1165
420,6909391,48481,1312
430,11593528,67001,1739
440,8255951,43527,1310
450,11152164,65457,1822
460,9740338,48759,1452
470,8287243,59390,1428
480,11085705,61036,1636
490,8816318,50888,1457
500,10354337,57495,1558
