10,17375,5828,311
20,67350,11217,297
30,288331,24936,240
40,711582,31553,323
50,2003093,50599,399
60,4218242,69279,618
70,8487633,83579,400
80,14242456,87125,236
90,20931930,92341,307
100,30956093,104495,366
110,41764398,109264,365
120,61672083,116722,676
130,85369526,119116,599
140,119895014,122654,639
150,158384927,123723,522
160,202958212,123846,529
170,254476419,124416,537
180,327087722,125466,802
190,415811532,126832,801
200,505338311,126860,713
210,605342872,126995,591
220,737425757,127627,829
230,877688071,127730,1047
240,1054599110,127730,949
250,1236009058,127730,769
260,1421774250,127730,1995
270,1632778657,127733,916
280,1872803658,127733,966
290,2141829724,127733,1237
300,2425614783,127733,904
310,2781815710,127733,1301
320,3131515468,127733,1151
330,3533127031,127733,1260
340,3982559887,127733,1195
350,4400003351,127733,3841
360,4922041935,127733,1508
370,5467911625,127733,1243
380,6105768210,127733,1537
390,6726932463,127733,1268
400,7359429708,127733,1245
410,8052298735,127733,1453
420,8879691171,127733,1602
430,9713570962,127733,1512
440,10586142081,127733,1264
450,11533638296,127733,1497
460,12579295605,127733,1626
470,13621218740,127733,1481
480,14737345207,127733,4652
490,15947826312,127733,1733
500,17164736990,127733,1654
