11217                     2 1012809                    
11218                     4 1012851                    
1123299                   1 1853922                    
1123329                   2 1833468                    
1123365472                1 5150229                    
11246                     1 1064007                    
11258                     2 1063524                    
11260                     2 1065120                    
112620                    1 186564                     
112734                    2 248913                     
112946                    2 28686                      
113                       15 1112580                   
1132214                   1 5063541                    
113258                    1 739704                     
11346                     3 1066191                    
11359                     2 1067220                    
113613                    1 824292                     
113790                    2 794199                     
113847                    2 777777                     
113852                    2 778281                     
11393                     2 1046241                    
114                       12 1111677                   
114115                    2 4718511                    
11428                     2 1051008                    
11432                     1 1053108                    
114335                    1 4672017                    
11436                     1 1052625                    
11438                     2 1052583                    
1146                      2 3613050                    
1146556                   1 1582329                    
11478                     2 1049496                    
11484                     1 1096116                    
11486                     5 1096011                    
11492                     1 1096221                    
115                       19 1111929                   
115000                    1 5191830                    
11507                     2 1143051                    
11526                     2 1144206                    
11531                     2 1143471                    
115527                    3 5287338                    
115757                    1 5039643                    
116                       85 1109472                   
116042                    1 3479595                    
11608                     2 1085679                    
11633                     2 1082130                    
11647                     2 1086855                    
11658                     1 1086225                    
11673                     2 1085742                    
11676                     1 1085721                    
11682                     2 1090950                    
11683                     2 1090908                    
117                       18 1111299                   
1170                      3 3613701                    
11709                     1 1192107                    
117230                    2 4186896                    
117368                    2 4166568                    
11738                     2 1189629                    
11744                     3 1190574                    
11754                     3 1190448                    
1176                      2 3613827                    
117693                    1 4069653                    
117710                    2 4082232                    
117728                    1 4083051                    
1178                      5 3605133                    
117865                    3 4099158                    
117894                    2 4099074                    
117926                    1 3978870                    
11799                     2 1195341                    
118                       9 1113672                    
118339                    2 2250003                    
1184                      4 3604776                    
11844                     3 1170141                    
118551                    2 2220603                    
118571                    1 2219847                    
1186                      3 3604713                    
118611                    2 2228436                    
1187                      2 3604671                    
11883                     2 1182888                    
11889                     1 1182153                    
119                       10 1113861                   
119015                    2 2974083                    
119025                    1 2974839                    
119038                    2 2975763                    
11925                     2 872004                     
119422                    2 3081750                    
119492                    2 3087525                    
11950                     2 871437                     
11954                     2 871794                     
119679                    1 3129819                    
119802                    2 3149706                    
11981                     3 872529                     
119847                    2 3165225                    
11996                     1 872844                     
11fn                      75 3578232                   
11k                       2 1125600                    
11pgs                     75 4937226                   
11pm                      1 3570231                    
11s                       76 1122618                   
11th                      3 3568047                    
11x                       3 1125537                    
11°                       1 1093575                    
120                       23 1119993                   
1200                      3 3600324                    
12003                     1 1377894                    
12007                     5 1377600                    
1201                      4 3600429                    
12022                     2 1371699                    
12029                     2 1372287                    
120342                    1 3433500                    
12059                     2 1381443                    
120804                    2 3366363                    
120885                    2 3336270                    
1209                      2 3600618                    
12091                     5 1378272                    
120948                    2 3351222                    
120997                    2 3320667                    
120°e                     1 4568970                    
121                       9 1118040                    
